Player,Club,Nationality,Points,year,ranking
Nwankwo Kanu,Internazionale,Nigeria,14,1996,11
George Weah,Milan,Liberia,13,1996,12
Alen Bokšić,Juventus,Croatia,12,1996,13
Gabriel Batistuta,Fiorentina,Argentina,12,1996,14
Andreas Köpke,Marseille,Germany,12,1996,15
Fabrizio Ravanelli,Middlesbrough,Italy,9,1996,16
Predrag Mijatović,Real Madrid,Yugoslavia,9,1996,17
Didier Deschamps,Juventus,France,8,1996,18
Kubilay Türkyilmaz,Grasshopper,Switzerland,5,1996,19
David Seaman,Arsenal,England,4,1996,20
Raúl,Real Madrid,Spain,4,1996,21
Paolo Maldini,Milan,Italy,3,1996,22
Christian Ziege,Bayern Munich,Germany,3,1996,23
Patrik Berger,Borussia Dortmund / Liverpool,Czech Republic,3,1996,24
Trifon Ivanov,Rapid Wien,Bulgaria,3,1996,25
Radek Bejbl,Slavia Prague / Atlético Madrid,Czech Republic,2,1996,26
Rui Costa,Fiorentina,Portugal,2,1996,27
Ronald de Boer,Ajax,Netherlands,1,1996,28
Luís Figo,Barcelona,Portugal,1,1996,29
Brian Laudrup,Rangers,Denmark,1,1996,30
Sergi,Barcelona,Spain,1,1996,31
Zinedine Zidane,Juventus,France,1,1996,32
Ronaldo,Barcelona /  Internazionale,Brazil,222,1997,1
Predrag Mijatović,Real Madrid,FR Yugoslavia,68,1997,2
Zinedine Zidane,Juventus,France,63,1997,3
Dennis Bergkamp,Arsenal,Netherlands,53,1997,4
Roberto Carlos,Real Madrid,Brazil,47,1997,5
Andreas Möller,Borussia Dortmund,Germany,40,1997,6
Raúl,Real Madrid,Spain,35,1997,7
Peter Schmeichel,Manchester United,Denmark,19,1997,8
Jürgen Kohler,Borussia Dortmund,Germany,17,1997,9
Matthias Sammer,Borussia Dortmund,Germany,16,1997,10
Christian Vieri,Atlético Madrid,Italy,16,1997,11
Youri Djorkaeff,Internazionale,France,15,1997,12
Luis Enrique,Barcelona,Spain,14,1997,13
Luís Figo,Barcelona,Portugal,12,1997,14
Gianfranco Zola,Chelsea,Italy,11,1997,15
Krasimir Balakov,VfB Stuttgart,Bulgaria,11,1997,16
Didier Deschamps,Juventus,France,10,1997,17
Clarence Seedorf,Real Madrid,Netherlands,10,1997,18
Alessandro Del Piero,Juventus,Italy,9,1997,19
Alan Shearer,Newcastle United,England,9,1997,20
David Beckham,Manchester United,England,9,1997,21
Fernando Hierro,Real Madrid,Spain,8,1997,22
Gabriel Batistuta,Fiorentina,Argentina,7,1997,23
Olaf Thon,Schalke 04,Germany,6,1997,24
Juninho,Atlético Madrid,Brazil,5,1997,25
Paulo Sousa,Borussia Dortmund,Portugal,5,1997,26
Lilian Thuram,Parma,France,5,1997,27
Ryan Giggs,Manchester United,Wales,4,1997,28
Oliver Bierhoff,Udinese,Germany,3,1997,29
Angelo Peruzzi,Juventus,Italy,3,1997,30
Raí,Paris Saint-Germain,Brazil,3,1997,31
Victor Ikpeba,Monaco,Nigeria,2,1997,32
Laurent Blanc,Marseille,France,1,1997,33
Ciro Ferrara,Juventus,Italy,1,1997,34
Rivaldo,Barcelona,Brazil,1,1997,35
Bent Skammelsrud,Rosenborg,Norway,1,1997,36
Zinedine Zidane,Juventus,France,244,1998,1
Davor Šuker,Real Madrid,Croatia,68,1998,2
Ronaldo,Internazionale,Brazil,66,1998,3
Michael Owen,Liverpool,England,51,1998,4
Rivaldo,Barcelona,Brazil,45,1998,5
Gabriel Batistuta,Fiorentina,Argentina,43,1998,6
Lilian Thuram,Parma,France,36,1998,7
Edgar Davids,Juventus,Netherlands,28,1998,8
Dennis Bergkamp,Arsenal,Netherlands,28,1998,9
Marcel Desailly,Chelsea,France,19,1998,10
Frank de Boer,Ajax,Netherlands,17,1998,11
Emmanuel Petit,Arsenal,France,16,1998,12
Roberto Carlos,Real Madrid,Brazil,13,1998,13
Laurent Blanc,Marseille,France,11,1998,14
Fabien Barthez,Monaco,France,11,1998,15
Alessandro Del Piero,Juventus,Italy,10,1998,16
Predrag Mijatović,Real Madrid,Yugoslavia,10,1998,17
Didier Deschamps,Juventus,France,9,1998,18
Oliver Bierhoff,Milan,Germany,9,1998,19
Michael Laudrup,Ajax,Denmark,6,1998,20
Ronald de Boer,Ajax,Netherlands,4,1998,21
Raúl,Real Madrid,Spain,4,1998,22
Brian Laudrup,Chelsea,Denmark,3,1998,23
Clarence Seedorf,Real Madrid,Netherlands,3,1998,24
Marc Overmars,Arsenal,Netherlands,3,1998,25
Christian Vieri,Lazio,Italy,2,1998,26
Fernando Hierro,Real Madrid,Spain,2,1998,27
David Beckham,Manchester United,England,1,1998,28
Luis Enrique,Barcelona,Spain,1,1998,29
Bixente Lizarazu,Bayern Munich,France,1,1998,30
Nikos Machlas,Vitesse,Greece,1,1998,31
Rivaldo,Barcelona,Brazil,219,1999,1
David Beckham,Manchester United,England,154,1999,2
Andriy Shevchenko,Milan,Ukraine,64,1999,3
Gabriel Batistuta,Fiorentina,Argentina,48,1999,4
Luís Figo,Barcelona,Portugal,38,1999,5
Roy Keane,Manchester United,Republic of Ireland,36,1999,6
Christian Vieri,Lazio,Italy,33,1999,7
Juan Sebastián Verón,Lazio,Argentina,30,1999,8
Raúl,Real Madrid,Spain,27,1999,9
Lothar Matthäus,Bayern Munich,Germany,16,1999,10
Dwight Yorke,Manchester United,Trinidad and Tobago,14,1999,11
Jaap Stam,Manchester United,Netherlands,13,1999,12
Siniša Mihajlović,Lazio,FR Yugoslavia,12,1999,13
Zlatko Zahovič,Olympiacos,Slovenia,9,1999,14
Pavel Nedvěd,Lazio,Czech Republic,8,1999,15
Mário Jardel,Porto,Brazil,7,1999,16
Peter Schmeichel,Manchester United,Denmark,6,1999,17
Stefan Effenberg,Bayern Munich,Germany,5,1999,18
Zinedine Zidane,Juventus,France,4,1999,19
Oliver Bierhoff,Milan,Germany,4,1999,20
Mario Basler,Bayern Munich,Germany,3,1999,21
Ryan Giggs,Manchester United,Wales,3,1999,22
Hernán Crespo,Parma,Argentina,2,1999,23
Nwankwo Kanu,Arsenal,Nigeria,2,1999,24
Ronaldo,Internazionale,Brazil,2,1999,25
Andy Cole,Manchester United,England,1,1999,26
Edgar Davids,Juventus,Netherlands,1,1999,27
David Ginola,Tottenham Hotspur,France,1,1999,28
Claudio López,Valencia,Argentina,1,1999,29
Roberto Carlos,Real Madrid,Brazil,1,1999,30
Marcelo Salas,Lazio,Chile,1,1999,31
Luís Figo,Barcelona /  Real Madrid,Portugal,197,2000,1
Zinedine Zidane,Juventus,France,181,2000,2
Andriy Shevchenko,Milan,Ukraine,85,2000,3
Thierry Henry,Arsenal,France,57,2000,4
Alessandro Nesta,Lazio,Italy,39,2000,5
Rivaldo,Barcelona,Brazil,39,2000,6
Gabriel Batistuta,Roma,Argentina,26,2000,7
Gaizka Mendieta,Valencia,Spain,22,2000,8
Raúl,Real Madrid,Spain,18,2000,9
Paolo Maldini,Milan,Italy,10,2000,10
David Beckham,Manchester United,England,10,2000,11
Zlatko Zahovič,Olympiacos / Valencia,Slovenia,8,2000,12
Fabien Barthez,Manchester United,France,8,2000,13
Francesco Toldo,Fiorentina,Italy,7,2000,14
Francesco Totti,Roma,Italy,7,2000,15
Roberto Carlos,Real Madrid,Brazil,7,2000,16
Patrick Kluivert,Barcelona,Netherlands,6,2000,17
Edgar Davids,Juventus,Netherlands,5,2000,18
Hakan Şükür,Internazionale,Turkey,5,2000,19
Mário Jardel,Galatasaray,Brazil,5,2000,20
Fernando Redondo,Real Madrid /Milan,Argentina,5,2000,21
Pavel Nedvěd,Lazio,Czech Republic,4,2000,22
David Trezeguet,Juventus,France,4,2000,23
Marcel Desailly,Chelsea,France,2,2000,24
Oliver Kahn,Bayern Munich,Germany,2,2000,25
Rui Costa,Fiorentina,Portugal,2,2000,26
Laurent Blanc,Internazionale,France,1,2000,27
Claudio López,Valencia / Lazio,Argentina,1,2000,28
Roy Keane,Manchester United,Republic of Ireland,1,2000,29
Juan Sebastián Verón,Lazio,Argentina,1,2000,30
Michael Owen,Liverpool,England,176,2001,1
Raúl,Real Madrid,Spain,140,2001,2
Oliver Kahn,Bayern Munich,Germany,114,2001,3
David Beckham,Manchester United,England,102,2001,4
Francesco Totti,A.S. Roma,Italy,57,2001,5
Luís Figo,Real Madrid,Portugal,56,2001,6
Rivaldo,Barcelona,Brazil,20,2001,7
Andriy Shevchenko,Milan,Ukraine,18,2001,8
Thierry Henry,Arsenal,France,14,2001,9
Zinedine Zidane,Real Madrid,France,14,2001,10
Bixente Lizarazu,Bayern Munich,France,10,2001,11
David Trezeguet,Juventus,France,7,2001,12
Stefan Effenberg,Bayern Munich,Germany,6,2001,13
Henrik Larsson,Celtic,Sweden,4,2001,14
Alessandro Nesta,Lazio,Italy,4,2001,15
Juan Sebastián Verón,Lazio /  Manchester United,Argentina,3,2001,16
Hernán Crespo,Lazio,Argentina,3,2001,17
Giovane Élber,Bayern Munich,Brazil,2,2001,18
Gaizka Mendieta,Valencia / Lazio,Spain,2,2001,19
Roberto Carlos,Real Madrid,Brazil,2,2001,20
Damiano Tommasi,Roma,Italy,2,2001,21
Sami Hyypiä,Liverpool,Finland,2,2001,22
Emmanuel Olisadebe,Panathinaikos,Poland,2,2001,23
Ebbe Sand,Schalke 04,Denmark,2,2001,24
Roberto Baggio,Brescia,Italy,1,2001,25
Steven Gerrard,Liverpool,England,1,2001,26
Rui Costa,Milan,Portugal,1,2001,27
Sonny Anderson,Lyon,Brazil,0,2001,28
Fabien Barthez,Manchester United,France,0,2001,29
Gabriel Batistuta,Roma,Argentina,0,2001,30
Gianluigi Buffon,Parma / Juventus,Italy,0,2001,31
Cafu,Roma,Brazil,0,2001,32
Vincent Candela,Roma,France,0,2001,33
Alessandro Del Piero,Juventus,Italy,0,2001,34
Marcel Desailly,Chelsea,France,0,2001,35
Rio Ferdinand,Leeds United,England,0,2001,36
Ryan Giggs,Manchester United,Wales,0,2001,37
Jimmy Floyd Hasselbaink,Chelsea,Netherlands,0,2001,38
Iván Helguera,Real Madrid,Spain,0,2001,39
Harry Kewell,Leeds United,Australia,0,2001,40
Patrick Kluivert,Barcelona,Netherlands,0,2001,41
Samuel Kuffour,Bayern Munich,Ghana,0,2001,42
Hidetoshi Nakata,Roma / Parma,Japan,0,2001,43
Pavel Nedvěd,Lazio / Juventus,Czech Republic,0,2001,44
Pauleta,Bordeaux,Portugal,0,2001,45
Robert Pires,Arsenal,France,0,2001,46
Paul Scholes,Manchester United,England,0,2001,47
Lilian Thuram,Parma / Juventus,France,0,2001,48
Patrick Vieira,Arsenal,France,0,2001,49
Eric Carrière,Nantes,France,0,2001,50
Ronaldo,Brazil,Internazionale /  Real Madrid,169,2002,1
Roberto Carlos,Brazil,Real Madrid,145,2002,2
Oliver Kahn,Germany,Bayern Munich,110,2002,3
Zinedine Zidane,France,Real Madrid,78,2002,4
Michael Ballack,Germany,Bayer Leverkusen /  Bayern Munich,71,2002,5
Thierry Henry,France,Arsenal,54,2002,6
Raúl,Spain,Real Madrid,38,2002,7
Rivaldo,Brazil,Barcelona / Milan,31,2002,8
Yıldıray Baştürk,Turkey,Bayer Leverkusen,13,2002,9
Alessandro Del Piero,Italy,Juventus,12,2002,10
Hasan Şaş,Turkey,Galatasaray,10,2002,11
Ronaldinho,Brazil,Paris Saint-Germain,8,2002,12
Michael Owen,England,Liverpool,5,2002,13
Ruud van Nistelrooy,Netherlands,Manchester United,5,2002,14
Bernd Schneider,Germany,Bayer Leverkusen,4,2002,15
Juan Carlos Valerón,Spain,Deportivo La Coruña,4,2002,16
Cafu,Brazil,Roma,4,2002,17
Patrick Vieira,France,Arsenal,4,2002,18
Lúcio,Brazil,Bayer Leverkusen,3,2002,19
Luís Figo,Portugal,Real Madrid,3,2002,20
Papa Bouba Diop,Senegal,Lens,2,2002,21
El Hadji Diouf,Senegal,Lens / Liverpool,2,2002,22
Rio Ferdinand,England,Leeds United /  Manchester United,2,2002,23
Rubén Baraja,Spain,Valencia,1,2002,24
Filippo Inzaghi,Italy,Milan,1,2002,25
Roy Makaay,Netherlands,Deportivo La Coruña,1,2002,26
Pavel Nedvěd,Juventus,Czech Republic,190,2003,1
Thierry Henry,Arsenal,France,128,2003,2
Paolo Maldini,Milan,Italy,123,2003,3
Andriy Shevchenko,Milan,Ukraine,67,2003,4
Zinedine Zidane,Real Madrid,France,64,2003,5
Ruud van Nistelrooy,Manchester United,Netherlands,61,2003,6
Raúl,Real Madrid,Spain,32,2003,7
Roberto Carlos,Real Madrid,Brazil,27,2003,8
Gianluigi Buffon,Juventus,Italy,19,2003,9
David Beckham,Manchester United /  Real Madrid,England,17,2003,10
Ronaldo,Real Madrid,Brazil,11,2003,11
Henrik Larsson,Celtic,Sweden,6,2003,12
Alessandro Del Piero,Juventus,Italy,4,2003,13
Dida,Milan,Brazil,4,2003,14
Roy Makaay,Deportivo La Coruña /  Bayern Munich,Netherlands,4,2003,15
Alessandro Nesta,Milan,Italy,4,2003,16
Deco,Porto,Portugal,4,2003,17
Nihat Kahveci,Real Sociedad,Turkey,3,2003,18
Francesco Totti,Roma,Italy,3,2003,19
Michael Ballack,Bayern Munich,Germany,2,2003,20
Zlatan Ibrahimović,Ajax,Sweden,2,2003,21
Filippo Inzaghi,Milan,Italy,1,2003,22
Jan Koller,Borussia Dortmund,Czech Republic,1,2003,23
Adrian Mutu,Parma /  Chelsea,Romania,1,2003,24
Ronaldinho,Paris Saint-Germain /  Barcelona,Brazil,1,2003,25
Francesco Toldo,Internazionale,Italy,1,2003,26
Andriy Shevchenko,Milan,Ukraine,175,2004,1
Deco,Porto / Barcelona,Portugal,139,2004,2
Ronaldinho,Barcelona,Brazil,133,2004,3
Thierry Henry,Arsenal,France,80,2004,4
Theodoros Zagorakis,AEK Athens / Bologna,Greece,44,2004,5
Adriano,Parma / Internazionale,Brazil,27,2004,6
Pavel Nedvěd,Juventus,Czech Republic,23,2004,7
Wayne Rooney,Everton /  Manchester United,England,22,2004,8
Ricardo Carvalho,Porto / Chelsea,Portugal,18,2004,9
Ruud van Nistelrooy,Manchester United,Netherlands,18,2004,10
Angelos Charisteas,Werder Bremen,Greece,15,2004,11
Cristiano Ronaldo,Manchester United,Portugal,11,2004,12
Milan Baroš,Liverpool,Czech Republic,11,2004,13
Zlatan Ibrahimović,Ajax / Juventus,Sweden,8,2004,14
Samuel Eto'o,Mallorca / Barcelona,Cameroon,7,2004,15
Kaká,Milan,Brazil,7,2004,16
Traianos Dellas,Roma,Greece,5,2004,17
Fernando Morientes,Monaco /  Real Madrid,Spain,5,2004,18
Frank Lampard,Chelsea,England,5,2004,19
Didier Drogba,Marseille / Chelsea,Ivory Coast,5,2004,20
Gianluigi Buffon,Juventus,Italy,5,2004,21
Luís Figo,Real Madrid,Portugal,4,2004,22
Zinedine Zidane,Real Madrid,France,3,2004,23
Rubén Baraja,Valencia,Spain,2,2004,24
Ludovic Giuly,Monaco / Barcelona,France,2,2004,25
Maniche,Porto,Portugal,2,2004,26
Antonios Nikopolidis,Panathinaikos / Olympiacos,Greece,2,2004,27
Paolo Maldini,Milan,Italy,1,2004,28
Vicente,Valencia,Spain,1,2004,29
Ronaldinho,Barcelona,Brazil,225,2005,1
Frank Lampard,Chelsea,England,148,2005,2
Steven Gerrard,Liverpool,England,142,2005,3
Thierry Henry,Arsenal,France,41,2005,4
Andriy Shevchenko,Milan,Ukraine,33,2005,5
Paolo Maldini,Milan,Italy,23,2005,6
Adriano,Internazionale,Brazil,22,2005,7
Zlatan Ibrahimović,Juventus,Sweden,21,2005,8
Kaká,Milan,Brazil,19,2005,9
Samuel Eto'o,Barcelona,Cameroon,18,2005,10
John Terry,Chelsea,England,18,2005,11
Juninho,Lyon,Brazil,15,2005,12
Claude Makélélé,Chelsea,France,8,2005,13
Juan Román Riquelme,Villarreal,Argentina,7,2005,14
Petr Čech,Chelsea,Czech Republic,7,2005,15
Didier Drogba,Chelsea,Ivory Coast,7,2005,16
Michael Ballack,Bayern Munich,Germany,7,2005,17
Zinedine Zidane,Real Madrid,France,5,2005,18
Gianluigi Buffon,Juventus,Italy,4,2005,19
Jamie Carragher,Liverpool,England,3,2005,20
Cristiano Ronaldo,Manchester United,Portugal,3,2005,21
Michael Essien,Lyon / Chelsea,Ghana,2,2005,22
Luis García,Liverpool,Spain,1,2005,23
Pavel Nedvěd,Juventus,Czech Republic,1,2005,24
Fabio Cannavaro,Juventus,Italy,173,2006,1
Gianluigi Buffon,Juventus,Italy,124,2006,2
Thierry Henry,Arsenal,France,121,2006,3
Ronaldinho,Barcelona,Brazil,73,2006,4
Zinedine Zidane,Real Madrid,France,71,2006,5
Samuel Eto'o,Barcelona,Cameroon,67,2006,6
Miroslav Klose,Werder Bremen,Germany,29,2006,7
Didier Drogba,Chelsea,Côte d'Ivoire,25,2006,8
Andrea Pirlo,Milan,Italy,17,2006,9
Jens Lehmann,Arsenal,Germany,13,2006,10
Deco,Barcelona,Portugal,11,2006,11
Kaká,Milan,Brazil,11,2006,12
Franck Ribéry,Marseille,France,9,2006,13
Gennaro Gattuso,Milan,Italy,5,2006,14
Patrick Vieira,Juventus / Internazionale,France,5,2006,15
Cristiano Ronaldo,Manchester United F.C.,Portugal,5,2006,16
Frank Lampard,Chelsea,England,3,2006,17
Lukas Podolski,1. FC Köln / Bayern Munich,Germany,3,2006,18
Carles Puyol,Barcelona,Spain,3,2006,19
Juninho,Lyon,Brazil,2,2006,20
Lionel Messi,FC Barcelona,Argentina,2,2006,21
Luca Toni,Fiorentina,Italy,2,2006,22
John Terry,Chelsea,England,2,2006,23
Gianluca Zambrotta,Juventus / Barcelona,Italy,2,2006,24
Philipp Lahm,Bayern Munich,Germany,1,2006,25
David Villa,Valencia,Spain,1,2006,26
Kaká,Milan,Brazil,445,2007,1
Cristiano Ronaldo,Manchester United,Portugal,277,2007,2
Lionel Messi,Barcelona,Argentina,255,2007,3
Didier Drogba,Chelsea,Ivory Coast,108,2007,4
Andrea Pirlo,Milan,Italy,41,2007,5
Ruud van Nistelrooy,Real Madrid,Netherlands,39,2007,6
Zlatan Ibrahimović,Internazionale,Sweden,31,2007,7
Cesc Fàbregas,Arsenal,Spain,27,2007,8
Robinho,Real Madrid,Brazil,24,2007,9
Francesco Totti,Roma,Italy,20,2007,10
Frédéric Kanouté,Sevilla,Mali,19,2007,11
Ronaldinho,Barcelona,Brazil,18,2007,12
Steven Gerrard,Liverpool,England,17,2007,13
Juan Román Riquelme,Villarreal /  Boca Juniors,Argentina,15,2007,14
Dani Alves,Sevilla,Brazil,14,2007,15
Filippo Inzaghi,Milan,Italy,12,2007,16
Franck Ribéry,Marseille /  Bayern Munich,France,10,2007,17
Paolo Maldini,Milan,Italy,8,2007,18
Gianluigi Buffon,Juventus,Italy,7,2007,19
Petr Čech,Chelsea,Czech Republic,7,2007,20
Gennaro Gattuso,Milan,Italy,7,2007,21
Thierry Henry,Arsenal / Barcelona,France,7,2007,22
Clarence Seedorf,Milan,Netherlands,7,2007,23
Fabio Cannavaro,Real Madrid,Italy,5,2007,24
Michael Essien,Chelsea,Ghana,5,2007,25
Wayne Rooney,Manchester United,England,4,2007,26
Iker Casillas,Real Madrid,Spain,3,2007,27
Rogério Ceni,São Paulo,Brazil,3,2007,28
Younis Mahmoud,Al-Gharafa,Iraq,2,2007,29
Guillermo Ochoa,América,Mexico,1,2007,30
Dimitar Berbatov,Tottenham Hotspur,Bulgaria,1,2007,31
Samuel Eto'o,Barcelona,Cameroon,1,2007,32
Ryan Giggs,Manchester United,Wales,1,2007,33
Carlos Tevez,West Ham United /  Manchester United,Argentina,1,2007,34
Robin van Persie,Arsenal,Netherlands,1,2007,35
Eric Abidal,Lyon / Barcelona,France,0,2007,36
David Beckham,Real Madrid /  LA Galaxy,England,0,2007,37
Deco,Barcelona,Portugal,0,2007,38
Mahamadou Diarra,Real Madrid,Mali,0,2007,39
Diego,Werder Bremen,Brazil,0,2007,40
Miroslav Klose,Werder Bremen /  Bayern Munich,Germany,0,2007,41
Florent Malouda,Lyon / Chelsea,France,0,2007,42
Shunsuke Nakamura,Celtic,Japan,0,2007,43
Ricardo Quaresma,Porto,Portugal,0,2007,44
Raúl,Real Madrid,Spain,0,2007,45
Paul Scholes,Manchester United,England,0,2007,46
Luca Toni,Bayern Munich,Italy,0,2007,47
Kolo Touré,Arsenal,Ivory Coast,0,2007,48
Fernando Torres,Atlético Madrid / Liverpool,Spain,0,2007,49
David Villa,Valencia,Spain,0,2007,50
Cristiano Ronaldo,Portugal,Manchester United,446,2008,1
Lionel Messi,Argentina,Barcelona,281,2008,2
Fernando Torres,Spain,Liverpool,179,2008,3
Iker Casillas,Spain,Real Madrid,133,2008,4
Xavi,Spain,Barcelona,97,2008,5
Andrey Arshavin,Russia,Zenit Saint Petersburg,64,2008,6
David Villa,Spain,Valencia,55,2008,7
Zlatan Ibrahimović,Sweden,Internazionale,30,2008,8
Kaká,Brazil,Milan,29,2008,9
Steven Gerrard,England,Liverpool,28,2008,10
Marcos Senna,Spain,Villarreal,16,2008,11
Emmanuel Adebayor,Togo,Arsenal,12,2008,12
Wayne Rooney,England,Manchester United,11,2008,13
Sergio Agüero,Argentina,Atlético Madrid,10,2008,14
Frank Lampard,England,Chelsea,8,2008,15
Franck Ribéry,France,Bayern Munich,7,2008,16
Samuel Eto'o,Cameroon,Barcelona,6,2008,17
Gianluigi Buffon,Italy,Juventus,5,2008,18
Michael Ballack,Germany,Chelsea,4,2008,19
Cesc Fàbregas,Spain,Arsenal,4,2008,20
Didier Drogba,Ivory Coast,Chelsea,3,2008,21
Sergio Ramos,Spain,Real Madrid,3,2008,22
Nemanja Vidić,Serbia,Manchester United,3,2008,23
Edwin van der Sar,Netherlands,Manchester United,2,2008,24
Ruud van Nistelrooy,Netherlands,Real Madrid,2,2008,25
