Player,Club,Nationality,Points,year,ranking
Karim Benzema,France,Lyon,0,2008,26
Pepe,Portugal,Real Madrid,0,2008,27
Luca Toni,Italy,Bayern Munich,0,2008,28
Rafael van der Vaart,Netherlands,Real Madrid,0,2008,29
Yuri Zhirkov,Russia,CSKA Moscow,0,2008,30
Lionel Messi,Barcelona,Argentina,473,2009,1
Cristiano Ronaldo,Manchester United /  Real Madrid,Portugal,233,2009,2
Xavi,Barcelona,Spain,170,2009,3
Andrés Iniesta,Barcelona,Spain,149,2009,4
Samuel Eto'o,Barcelona /  Internazionale,Cameroon,75,2009,5
Kaká,Milan /  Real Madrid,Brazil,58,2009,6
Zlatan Ibrahimović,Internazionale / Barcelona,Sweden,50,2009,7
Wayne Rooney,Manchester United,England,35,2009,8
Didier Drogba,Chelsea,Ivory Coast,33,2009,9
Steven Gerrard,Liverpool,England,32,2009,10
Fernando Torres,Liverpool,Spain,22,2009,11
Cesc Fàbregas,Arsenal,Spain,13,2009,12
Edin Džeko,Wolfsburg,Bosnia and Herzegovina,12,2009,13
Ryan Giggs,Manchester United,Wales,11,2009,14
Thierry Henry,Barcelona,France,9,2009,15
Luís Fabiano,Sevilla,Brazil,8,2009,16
Nemanja Vidić,Manchester United,Serbia,8,2009,17
Iker Casillas,Real Madrid,Spain,8,2009,18
Diego Forlán,Atlético Madrid,Uruguay,7,2009,19
Yoann Gourcuff,Bordeaux,France,6,2009,20
Andrey Arshavin,Arsenal,Russia,5,2009,21
Júlio César,Internazionale,Brazil,5,2009,22
Frank Lampard,Chelsea,England,5,2009,23
Maicon,Internazionale,Brazil,4,2009,24
Diego,Werder Bremen / Juventus,Brazil,3,2009,25
David Villa,Valencia,Spain,2,2009,26
John Terry,Chelsea,England,2,2009,27
Franck Ribéry,Bayern Munich,France,1,2009,28
Yaya Touré,Barcelona,Ivory Coast,1,2009,29
Karim Benzema,Lyon /  Real Madrid,France,1,2009,30
Lionel Messi,Barcelona,Argentina,22.65,2010,1
Andrés Iniesta,Barcelona,Spain,17.36,2010,2
Xavi,Barcelona,Spain,16.48,2010,3
Wesley Sneijder,Internazionale,Netherlands,14.48,2010,4
Diego Forlán,Atlético Madrid,Uruguay,7.61,2010,5
Cristiano Ronaldo,Real Madrid,Portugal,3.92,2010,6
Iker Casillas,Real Madrid,Spain,2.90,2010,7
David Villa,Valencia / Barcelona,Spain,2.25,2010,8
Didier Drogba,Chelsea,Ivory Coast,1.68,2010,9
Xabi Alonso,Real Madrid,Spain,1.52,2010,10
Carles Puyol,Barcelona,Spain,1.43,2010,11
Samuel Eto'o,Internazionale,Cameroon,1.37,2010,12
Mesut Özil,Real Madrid,Germany,1.21,2010,13
Arjen Robben,Bayern Munich,Netherlands,1.16,2010,14
Thomas Müller,Bayern Munich,Germany,0.91,2010,15
Bastian Schweinsteiger,Bayern Munich,Germany,0.75,2010,16
Maicon,Internazionale,Brazil,0.57,2010,17
Asamoah Gyan,Sunderland,Ghana,0.46,2010,18
Júlio César,Internazionale,Brazil,0.22,2010,19
Cesc Fàbregas,Arsenal,Spain,0.22,2010,20
Miroslav Klose,Bayern Munich,Germany,0.19,2010,21
Philipp Lahm,Bayern Munich,Germany,0.05,2010,22
Dani Alves,Barcelona,Brazil,0.05,2010,23
Lionel Messi,Barcelona,Argentina,47.88,2011,1
Cristiano Ronaldo,Real Madrid,Portugal,21.6,2011,2
Xavi,Barcelona,Spain,9.23,2011,3
Andrés Iniesta,Barcelona,Spain,6.01,2011,4
Wayne Rooney,Manchester United,England,2.31,2011,5
Luis Suárez,Ajax / Liverpool,Uruguay,1.48,2011,6
Diego Forlán,Atlético Madrid / Internazionale,Uruguay,1.43,2011,7
Samuel Eto'o,Internazionale /  Anzhi Makhachkala,Cameroon,1.34,2011,8
Iker Casillas,Real Madrid,Spain,1.29,2011,9
Neymar,Santos,Brazil,1.12,2011,10
Mesut Özil,Real Madrid,Germany,0.76,2011,11
Wesley Sneijder,Internazionale,Netherlands,0.72,2011,12
Thomas Müller,Bayern Munich,Germany,0.64,2011,13
David Villa,Barcelona,Spain,0.53,2011,14
Bastian Schweinsteiger,Bayern Munich,Germany,0.50,2011,15
Xabi Alonso,Real Madrid,Spain,0.48,2011,16
Sergio Agüero,Atlético Madrid,Argentina,0.48,2011,17
Eric Abidal,Barcelona,France,0.36,2011,18
Dani Alves,Barcelona,Brazil,0.34,2011,19
Karim Benzema,Real Madrid,France,0.34,2011,20
Cesc Fàbregas,Arsenal / Barcelona,Spain,0.29,2011,21
Nani,Manchester United,Portugal,0.26,2011,22
Gerard Piqué,Barcelona,Spain,0.22,2011,23
Lionel Messi,Barcelona,Argentina,41.6,2012,1
Cristiano Ronaldo,Real Madrid,Portugal,23.68,2012,2
Andrés Iniesta,Barcelona,Spain,10.91,2012,3
Xavi,Barcelona,Spain,4.08,2012,4
Radamel Falcao,Atlético Madrid,Colombia,3.67,2012,5
Iker Casillas,Real Madrid,Spain,3.18,2012,6
Andrea Pirlo,Juventus,Italy,2.66,2012,7
Didier Drogba,Chelsea /  Shanghai Shenhua,Ivory Coast,2.6,2012,8
Robin van Persie,Arsenal /  Manchester United,Netherlands,1.45,2012,9
Zlatan Ibrahimović,Milan /  Paris Saint-Germain,Sweden,1.24,2012,10
Xabi Alonso,Real Madrid,Spain,1.09,2012,11
Yaya Touré,Manchester City,Ivory Coast,0.76,2012,12
Neymar,Santos,Brazil,0.61,2012,13
Mesut Özil,Real Madrid,Germany,0.41,2012,14
Wayne Rooney,Manchester United,England,0.39,2012,15
Gianluigi Buffon,Juventus,Italy,0.35,2012,16
Sergio Agüero,Manchester City,Argentina,0.3,2012,17
Sergio Ramos,Real Madrid,Spain,0.22,2012,18
Manuel Neuer,Bayern Munich,Germany,0.21,2012,19
Sergio Busquets,Barcelona,Spain,0.2,2012,20
Gerard Piqué,Barcelona,Spain,0.11,2012,21
Karim Benzema,Real Madrid,France,0.11,2012,22
Mario Balotelli,Manchester City,Italy,0.07,2012,23
Cristiano Ronaldo,Real Madrid,Portugal,27.99,2013,1
Lionel Messi,Barcelona,Argentina,24.72,2013,2
Franck Ribéry,Bayern Munich,France,23.36,2013,3
Zlatan Ibrahimović,Paris Saint-Germain,Sweden,5.29,2013,4
Neymar,Santos / Barcelona,Brazil,3.17,2013,5
Andrés Iniesta,Barcelona,Spain,2.08,2013,6
Robin van Persie,Manchester United,Netherlands,1.79,2013,7
Arjen Robben,Bayern Munich,Netherlands,1.77,2013,8
Gareth Bale,Tottenham Hotspur /  Real Madrid,Wales,1.32,2013,9
Andrea Pirlo,Juventus,Italy,1.11,2013,10
Radamel Falcao,Atlético Madrid / Monaco,Colombia,1.08,2013,11
Yaya Touré,Manchester City,Ivory Coast,0.99,2013,12
Robert Lewandowski,Borussia Dortmund,Poland,0.92,2013,13
Philipp Lahm,Bayern Munich,Germany,0.82,2013,14
Xavi,Barcelona,Spain,0.82,2013,15
Mesut Özil,Real Madrid / Arsenal,Germany,0.71,2013,16
Bastian Schweinsteiger,Bayern Munich,Germany,0.43,2013,17
Thomas Müller,Bayern Munich,Germany,0.43,2013,18
Luis Suárez,Liverpool,Uruguay,0.39,2013,19
Edinson Cavani,Napoli /  Paris Saint-Germain,Uruguay,0.36,2013,20
Thiago Silva,Paris Saint-Germain,Brazil,0.24,2013,21
Eden Hazard,Chelsea,Belgium,0.16,2013,22
Manuel Neuer,Bayern Munich,Germany,0.08,2013,23
Cristiano Ronaldo,Real Madrid,Portugal,37.66,2014,1
Lionel Messi,Barcelona,Argentina,15.76,2014,2
Manuel Neuer,Bayern Munich,Germany,15.72,2014,3
Arjen Robben,Bayern Munich,Netherlands,7.17,2014,4
Thomas Müller,Bayern Munich,Germany,5.42,2014,5
Philipp Lahm,Bayern Munich,Germany,2.90,2014,6
Neymar,Barcelona,Brazil,2.21,2014,7
James Rodríguez,Monaco /  Real Madrid,Colombia,1.47,2014,8
Toni Kroos,Bayern Munich /  Real Madrid,Germany,1.43,2014,9
Ángel Di María,Real Madrid /  Manchester United,Argentina,1.29,2014,10
Diego Costa,Atlético Madrid /  Chelsea,Spain,1.02,2014,11
Gareth Bale,Real Madrid,Wales,1.00,2014,12
Zlatan Ibrahimović,Paris Saint-Germain,Sweden,1.00,2014,13
Yaya Touré,Manchester City,Ivory Coast,0.86,2014,14
Mario Götze,Bayern Munich,Germany,0.84,2014,15
Karim Benzema,Real Madrid,France,0.75,2014,16
Andrés Iniesta,Barcelona,Spain,0.67,2014,17
Bastian Schweinsteiger,Bayern Munich,Germany,0.57,2014,18
Javier Mascherano,Barcelona,Argentina,0.55,2014,19
Thibaut Courtois,Atlético Madrid / Chelsea,Belgium,0.51,2014,20
David Luiz,Chelsea,Brazil,0.47,2014,21
Paul Pogba,Juventus,France,0.40,2014,22
Sergio Ramos,Real Madrid,Spain,0.33,2014,23
Lionel Messi,Barcelona,Argentina,41.33,2015,1
Cristiano Ronaldo,Real Madrid,Portugal,27.76,2015,2
Neymar,Barcelona,Brazil,7.86,2015,3
Robert Lewandowski,Bayern Munich,Poland,4.17,2015,4
Luis Suárez,Barcelona,Uruguay,3.38,2015,5
Thomas Müller,Bayern Munich,Germany,2.21,2015,6
Manuel Neuer,Bayern Munich,Germany,1.97,2015,7
Eden Hazard,Chelsea,Belgium,1.33,2015,8
Andrés Iniesta,Barcelona,Spain,1.24,2015,9
Alexis Sánchez,Arsenal,Chile,1.18,2015,10
Zlatan Ibrahimović,Paris Saint-Germain,Sweden,1.13,2015,11
Yaya Touré,Manchester City,Ivory Coast,0.89,2015,12
Sergio Agüero,Manchester City,Argentina,0.86,2015,13
Javier Mascherano,Barcelona,Argentina,0.79,2015,14
Paul Pogba,Juventus,France,0.72,2015,15
Gareth Bale,Real Madrid,Wales,0.65,2015,16
Arturo Vidal,Juventus /  Bayern Munich,Chile,0.58,2015,17
Kevin De Bruyne,VfL Wolfsburg /  Manchester City,Belgium,0.47,2015,18
James Rodríguez,Real Madrid,Colombia,0.45,2015,19
Karim Benzema,Real Madrid,France,0.4,2015,20
Toni Kroos,Real Madrid,Germany,0.2931,2015,21
Arjen Robben,Bayern Munich,Netherlands,0.293,2015,22
Ivan Rakitić,Barcelona,Croatia,0.05,2015,23
Cristiano Ronaldo,Real Madrid,Portugal,745,2016,1
Lionel Messi,Barcelona,Argentina,316,2016,2
Antoine Griezmann,Atlético Madrid,France,198,2016,3
Luis Suárez,Barcelona,Uruguay,91,2016,4
Neymar,Barcelona,Brazil,68,2016,5
Gareth Bale,Real Madrid,Wales,60,2016,6
Riyad Mahrez,Leicester City,Algeria,20,2016,7
Jamie Vardy,Leicester City,England,11,2016,8
Gianluigi Buffon,Juventus,Italy,8,2016,9
Pepe,Real Madrid,Portugal,8,2016,10
Pierre-Emerick Aubameyang,Borussia Dortmund,Gabon,7,2016,11
Rui Patrício,Sporting CP,Portugal,6,2016,12
Zlatan Ibrahimović,Paris Saint-Germain /  Manchester United,Sweden,5,2016,13
Paul Pogba,Juventus /  Manchester United,France,4,2016,14
Arturo Vidal,Bayern Munich,Chile,4,2016,15
Robert Lewandowski,Bayern Munich,Poland,3,2016,16
Toni Kroos,Real Madrid,Germany,1,2016,17
Luka Modrić,Real Madrid,Croatia,1,2016,18
Dimitri Payet,West Ham United,France,1,2016,19
Sergio Agüero,Manchester City,Argentina,0,2016,20
Kevin De Bruyne,Manchester City,Belgium,0,2016,21
Paulo Dybala,Juventus,Argentina,0,2016,22
Diego Godín,Atlético Madrid,Uruguay,0,2016,23
Gonzalo Higuaín,Napoli / Juventus,Argentina,0,2016,24
Andrés Iniesta,Barcelona,Spain,0,2016,25
Koke,Atlético Madrid,Spain,0,2016,26
Hugo Lloris,Tottenham Hotspur,France,0,2016,27
Thomas Müller,Bayern Munich,Germany,0,2016,28
Manuel Neuer,Bayern Munich,Germany,0,2016,29
Sergio Ramos,Real Madrid,Spain,0,2016,30
Cristiano Ronaldo,Real Madrid,Portugal,946,2017,1
Lionel Messi,Barcelona,Argentina,670,2017,2
Neymar,Barcelona /  Paris Saint-Germain,Brazil,361,2017,3
Gianluigi Buffon,Juventus,Italy,221,2017,4
Luka Modrić,Real Madrid,Croatia,84,2017,5
Sergio Ramos,Real Madrid,Spain,71,2017,6
Kylian Mbappé,Monaco /  Paris Saint-Germain,France,48,2017,7
N'Golo Kanté,Chelsea,France,47,2017,8
Robert Lewandowski,Bayern Munich,Poland,45,2017,9
Harry Kane,Tottenham Hotspur,England,36,2017,10
Edinson Cavani,Paris Saint-Germain,Uruguay,32,2017,11
Isco,Real Madrid,Spain,28,2017,12
Luis Suárez,Barcelona,Uruguay,27,2017,13
Kevin De Bruyne,Manchester City,Belgium,25,2017,14
Paulo Dybala,Juventus,Argentina,23,2017,15
Marcelo,Real Madrid,Brazil,21,2017,16
Toni Kroos,Real Madrid,Germany,20,2017,17
Antoine Griezmann,Atlético Madrid,France,17,2017,18
Eden Hazard,Chelsea,Belgium,16,2017,19
David de Gea,Manchester United,Spain,15,2017,20
Pierre-Emerick Aubameyang,Borussia Dortmund,Gabon,14,2017,21
Leonardo Bonucci,Juventus / Milan,Italy,14,2017,22
Sadio Mané,Liverpool,Senegal,10,2017,23
Radamel Falcao,Monaco,Colombia,9,2017,24
Karim Benzema,Real Madrid,France,7,2017,25
Jan Oblak,Atlético Madrid,Slovenia,4,2017,26
Mats Hummels,Bayern Munich,Germany,3,2017,27
Edin Džeko,Roma,Bosnia and Herzegovina,2,2017,28
Philippe Coutinho,Liverpool,Brazil,0,2017,29
Dries Mertens,Napoli,Italy+Q1:Q30,0,2017,30
Luka Modrić,Real Madrid,Croatia,753,2018,1
Cristiano Ronaldo,Real Madrid /  Juventus,Portugal,478,2018,2
Antoine Griezmann,Atlético Madrid,France,414,2018,3
Kylian Mbappé,Paris Saint-Germain,France,347,2018,4
Lionel Messi,Barcelona,Argentina,280,2018,5
Mohamed Salah,Liverpool,Egypt,188,2018,6
Raphaël Varane,Real Madrid,France,121,2018,7
Eden Hazard,Chelsea,Belgium,119,2018,8
Kevin De Bruyne,Manchester City,Belgium,29,2018,9
Harry Kane,Tottenham Hotspur,England,25,2018,10
N'Golo Kanté,Chelsea,France,24,2018,11
Neymar,Paris Saint-Germain,Brazil,19,2018,12
Luis Suárez,Barcelona,Uruguay,17,2018,13
Thibaut Courtois,Chelsea /  Real Madrid,Belgium,12,2018,14
Paul Pogba,Manchester United,France,9,2018,15
Sergio Agüero,Manchester City,Argentina,7,2018,16
Gareth Bale,Real Madrid,Wales,6,2018,17
Karim Benzema,Real Madrid,France,6,2018,18
Roberto Firmino,Liverpool,Brazil,4,2018,19
Ivan Rakitić,Barcelona,Croatia,4,2018,20
Sergio Ramos,Real Madrid,Spain,4,2018,21
Edinson Cavani,Paris Saint-Germain,Uruguay,3,2018,22
Sadio Mané,Liverpool,Senegal,3,2018,23
Marcelo,Real Madrid,Brazil,3,2018,24
Alisson,Roma / Liverpool,Brazil,2,2018,25
Mario Mandžukić,Juventus,Croatia,2,2018,26
Jan Oblak,Atlético Madrid,Slovenia,2,2018,27
Diego Godín,Atlético Madrid,Uruguay,1,2018,28
Isco,Real Madrid,Spain,0,2018,29
Hugo Lloris,Tottenham Hotspur,France,0,2018,30
Lionel Messi,Barcelona,Argentina ,686,2019,1
Virgil Van Dijk,Liverpool,Netherlands ,679,2019,2
Cristiano Ronaldo,Juventus,Portugal ,476,2019,3
Sadio Mané,Liverpool,Senegal ,347,2019,4
Mohamed Salah,Liverpool,Egypt ,178,2019,5
Kylian Mbappé,Paris Saint-Germain,France ,89,2019,6
Alisson,Liverpool,Brazil ,67,2019,7
Robert Lewandowski,Bayern Munich,Poland ,44,2019,8
Bernardo Silva,Manchester City,Portugal ,41,2019,9
Riyad Mahrez,Manchester City,Algeria ,33,2019,10
Frenkie de Jong,Ajax / Barcelona,Netherlands ,31,2019,11
Raheem Sterling,Manchester City,England ,30,2019,12
Eden Hazard,Chelsea / Real Madrid,Belgium ,25,2019,13
Kevin De Bruyne,Manchester City,Belgium ,14,2019,14
Matthijs de Ligt,Ajax / Juventus,Netherlands ,13,2019,15
Sergio Agüero,Manchester City,Argentina ,12,2019,16
Roberto Firmino,Liverpool,Brazil ,11,2019,17
Antoine Griezmann,Atlético Madrid / Barcelona,France ,9,2019,18
Trent Alexander-Arnold,Liverpool,England ,8,2019,19
Pierre-Emerick Aubameyang,Arsenal,Gabon ,5,2019,20
Dušan Tadić,Ajax,Serbia ,5,2019,21
Son Heung-min,Tottenham Hotspur,South Korea,4,2019,22
France Hugo Lloris,Tottenham Hotspur,France ,3,2019,23
Kalidou Koulibaly,Napoli,Senegal ,2,2019,24
Marc-André ter Stegen,Barcelona,Germany ,2,2019,25
Karim Benzema,Real Madrid,France ,1,2019,26
Georginio Wijnaldum,Liverpool,Netherlands ,1,2019,27
João Félix,Benfica / Atlético Madrid,Portugal ,0,2019,28
Marquinhos,Paris Saint-Germain,Brazil ,0,2019,29
Donny van de Beek,Ajax,Netherlands ,0,2019,30
Lionel Messi, Paris Saint-Germain,Argentina,613,2021,1
Robert Lewandowski,Bayern Munich,Poland,580,2021,2
Jorginho,Chelsea,Italy,460,2021,3
Karim Benzema,Real Madrid,France,239,2021,4
N'Golo Kanté,Chelsea,France,186,2021,5
Cristiano Ronaldo,"Juventus, Manchester United",Portugal,178,2021,6
Mohamed Salah,Liverpool,Egypt,121,2021,7
Kevin De Bruyne,Manchester City,Belgium,73,2021,8
Kylian Mbappé,Paris Saint-Germain,France,58,2021,9
Gianluigi Donnarumma,"Milan, Paris Saint-Germain",Italy,36,2021,10
Erling Haaland,Borussia Dortmund,Norway,33,2021,11
Romelu Lukaku,"Inter Milan, Chelsea",Belgium,26,2021,12
Giorgio Chiellini,Juventus,Italy,26,2021,13
Leonardo Bonucci,Juventus,Italy,18,2021,14
Raheem Sterling,Manchester City,England,10,2021,15
Neymar,Paris Saint-Germain,Brazil,9,2021,16
Luis Suárez,Atlético Madrid,Uruguay,8,2021,17
Simon Kjær,Milan,Denmark,8,2021,18
Mason Mount,Chelsea,England,7,2021,19
Riyad Mahrez,Manchester City,Algeria,7,2021,20
Bruno Fernandes,Manchester United,Portugal,6,2021,21
Lautaro Martínez,Inter Milan,Argentina,6,2021,22
Harry Kane,Tottenham Hotspur,England,4,2021,23
Pedri,Barcelona,Spain,3,2021,24
Phil Foden,Manchester City,England,2,2021,25
Gerard Moreno,Villarreal,Spain,1,2021,26
Nicolò Barella,Inter Milan,Italy,1,2021,27
Rúben Dias,Manchester City,Portugal,1,2021,28
Luka Modrić,Real Madrid,Croatia,0,2021,29
Cesar Azpilicueta,Chelsea,Spain,0,2021,30
Karim Benzema,Real Madrid,France,549,2022,1
Sadio Mane,Liverpool /Bayern Munich,Senegal,193,2022,2
Kevin De Bruyne,Man City,Belgium,175,2022,3
Robert Lewandowski,Bayern Munich /Barcelona,Poland,170,2022,4
Mohamed Salah,Liverpool,Egypt,116,2022,5
Kylian Mbappe,PSG,France,85,2022,6
Thibaut Courtois,Real Madrid,Belgium,82,2022,7
Vinicius Jr.,Real Madrid,Brazil,61,2022,8
Luka Modric,Real Madrid,Croatia,20,2022,9
Erling Haaland,Man City,Norway,18,2022,10
Son Heung-min,Tottenham,South Korea,5,2022,11
Riyad Mahrez,Man City,Algeria,4,2022,12
Sebastien Haller,Ajax /B. Dortmund,Ivory Coast,2,2022,13
Fabinho,Liverpool,Brazil,2,2022,14
Virgil van Dijk,Liverpool,Netherlands,1,2022,16
Casemiro,Real Madrid /Man United,Brazil,1,2022,17
Dusan Vlahovic,Fiorentina /Juventus,Serbia,1,2022,18
Luis Diaz,Porto /Liverpool,Colombia,1,2022,19
Cristiano Ronaldo,Man United,Portugal,0,2022,20
Harry Kane,Tottenham,England,0,2022,21
Trent Alexander-Arnold,Liverpool,England,0,2022,22
Phil Foden,Man City,England,0,2022,23
Bernardo Silva,Man City,Portugal,0,2022,24
Joshua Kimmich,Bayern Munich,Germany,0,2022,25
Mike Maignan,AC Milan,France,0,2022,26
Antonio Rudiger,Chelsea /Real Madrid,Germany,0,2022,27
Joao Cancelo,Man City,Portugal,0,2022,28
Christopher Nkunku,RB Leipzig,France,0,2022,29
Darwin Nunez,Benfica /Liverpool,Uruguay,0,2022,30
Lionel Messi,PSG,Argentina,462,2023,1
Erling Haaland,Man City,Norway,357,2023,2
Kylian Mbappe,PSG,France,270,2023,3
Kevin de Bruyne,Man City,Belgium,100,2023,4
Rodri,Man City,Spain,57,2023,5
Vinicius Jr,Real Madrid,Brazil,49,2023,6
Julian Alvarez,Man City,Argentina,28,2023,7
Victor Osimhen,Napoli,Nigeria,24,2023,8
Bernardo Silva,Man City,Portugal,20,2023,9
Luka Modric,Real Madrid,Croatia,19,2023,10
Mohamed Salah,Liverpool,Egypt,13,2023,11
Robert Lewandowski,Barcelona,Poland,12,2023,12
Yassine Bounou,Sevilla,Morocco,10,2023,13
Ilkay Gundogan,Man City / Barcelona,Germany,8,2023,14
Emiliano Martinez,Aston Villa,Argentina,7,2023,15
Karim Benzema,Real Madrid,France,6,2023,16
Khvicha Kvaratskhelia,Napoli,Georgia,6,2023,17
Jude Bellingham,Borussia Dortmund / Real Madrid,England,5,2023,18
Harry Kane,Tottenham / Bayern Munich,England,4,2023,19
Lautaro Martinez,Inter Milan,Argentina,4,2023,20
Antoine Griezmann,Atletico Madrid,France,4,2023,21
Kim Min-Jae,Napoli / Bayern Munich,South Korea,3,2023,22
Andre Onana,Man United,Cameroon,2,2023,23
Bukayo Saka,Arsenal,England,1,2023,24
Josko Gvardiol,RB Leipzig / Man City,Croatia,1,2023,25
Jamal Musiala,Bayern Munich,Germany,0,2023,26
Nicolo Barella,Inter Milan,Italy,0,2023,27
Randal Kolo Muani,Eintracht Frankfurt / PSG,France,0,2023,28
Martin Odegaard,Arsenal,Norway,0,2023,29
Ruben Dias,Man City,Portugal,0,2023,30
